cotacaoVenda,dataHoraCotacao,tipoBoletim
"2,89266",2010-01-21 12:00:00.0,Intermediário
"2,8953",2010-01-21 12:30:00.0,Intermediário
"2,90149",2010-01-21 13:00:00.0,Intermediário
"2,89755",2010-01-21 13:30:00.0,Intermediário
"2,89541",2010-01-21 14:00:00.0,Intermediário
"2,9123",2010-01-21 14:30:00.0,Intermediário
"2,92257",2010-01-21 15:00:00.0,Intermediário
"2,9149",2010-01-21 15:30:00.0,Intermediário
"2,92003",2010-01-21 16:00:00.0,Intermediário
"2,9203",2010-01-21 16:30:00.0,Fechamento Interbancário
"2,90295",2010-01-21 17:38:00.0,Fechamento
"2,9306",2010-01-22 09:23:00.0,Abertura
"2,91735",2010-01-22 09:30:00.0,Intermediário
"2,93369",2010-01-22 10:00:00.0,Intermediário
"2,92179",2010-01-22 10:30:00.0,Intermediário
"2,92551",2010-01-22 11:00:00.0,Intermediário
"2,9353",2010-01-22 11:30:00.0,Intermediário
"2,94363",2010-01-22 12:00:00.0,Intermediário
"2,94593",2010-01-22 12:30:00.0,Intermediário
"2,93995",2010-01-22 13:00:00.0,Intermediário
"2,94758",2010-01-22 13:30:00.0,Intermediário
"2,93636",2010-01-22 14:00:00.0,Intermediário
"2,93928",2010-01-22 14:30:00.0,Intermediário
"2,93558",2010-01-22 15:00:00.0,Intermediário
"2,93248",2010-01-22 15:30:00.0,Intermediário
"2,93177",2010-01-22 16:00:00.0,Intermediário
"2,92696",2010-01-22 16:30:00.0,Fechamento Interbancário
"2,93293",2010-01-22 17:32:00.0,Fechamento
"2,92171",2010-01-25 09:23:00.0,Abertura
"2,91509",2010-01-25 09:30:00.0,Intermediário
"2,91185",2010-01-25 10:00:00.0,Intermediário
"2,93023",2010-01-25 10:30:00.0,Intermediário
"2,93211",2010-01-25 11:00:00.0,Intermediário
"2,933",2010-01-25 11:30:00.0,Intermediário
"2,93604",2010-01-25 12:00:00.0,Intermediário
"2,94076",2010-01-25 12:30:00.0,Intermediário
"2,94442",2010-01-25 13:00:00.0,Intermediário
"2,94296",2010-01-25 13:30:00.0,Intermediário
"2,95004",2010-01-25 14:00:00.0,Intermediário
"2,95482",2010-01-25 14:30:00.0,Intermediário
"2,95541",2010-01-25 15:00:00.0,Intermediário
"2,95331",2010-01-25 15:30:00.0,Intermediário
"2,95889",2010-01-25 16:00:00.0,Intermediário
"2,95592",2010-01-25 16:30:00.0,Fechamento Interbancário
"2,95494",2010-01-25 17:33:00.0,Fechamento
"2,96554",2010-01-26 09:22:00.0,Abertura
"2,95802",2010-01-26 09:30:00.0,Intermediário
"2,95945",2010-01-26 10:00:00.0,Intermediário
"2,96387",2010-01-26 10:30:00.0,Intermediário
"2,96413",2010-01-26 11:00:00.0,Intermediário
"2,96557",2010-01-26 11:30:00.0,Intermediário
"2,96704",2010-01-26 12:00:00.0,Intermediário
"2,9781",2010-01-26 12:30:00.0,Intermediário
"2,97962",2010-01-26 13:00:00.0,Intermediário
"2,97654",2010-01-26 13:30:00.0,Intermediário
"2,97652",2010-01-26 14:00:00.0,Intermediário
"2,97622",2010-01-26 14:30:00.0,Intermediário
"2,96839",2010-01-26 15:00:00.0,Intermediário
"2,9589",2010-01-26 15:30:00.0,Intermediário
"2,95789",2010-01-26 16:00:00.0,Intermediário
"2,96508",2010-01-26 16:30:00.0,Fechamento Interbancário
"2,96622",2010-01-26 17:35:00.0,Fechamento
"2,98474",2010-01-27 09:25:00.0,Abertura
"2,97645",2010-01-27 09:30:00.0,Intermediário
"2,98582",2010-01-27 10:00:00.0,Intermediário
