cotacaoVenda,dataHoraCotacao,tipoBoletim
"2,57136",2010-02-05 10:30:00.0,Intermediário
"2,57729",2010-02-05 11:00:00.0,Intermediário
"2,57134",2010-02-05 11:30:00.0,Intermediário
"2,56046",2010-02-05 12:00:00.0,Intermediário
"2,56399",2010-02-05 12:30:00.0,Intermediário
"2,56474",2010-02-05 13:00:00.0,Intermediário
"2,56789",2010-02-05 13:30:00.0,Intermediário
"2,56605",2010-02-05 14:00:00.0,Intermediário
"2,56624",2010-02-05 14:30:00.0,Intermediário
"2,56295",2010-02-05 15:00:00.0,Intermediário
"2,56456",2010-02-05 15:30:00.0,Intermediário
"2,56692",2010-02-05 16:00:00.0,Intermediário
"2,57475",2010-02-05 16:30:00.0,Fechamento Interbancário
"2,55337",2010-02-05 17:35:00.0,Fechamento
"2,57089",2010-02-08 09:24:00.0,Abertura
"2,56341",2010-02-08 09:30:00.0,Intermediário
"2,57369",2010-02-08 10:00:00.0,Intermediário
"2,57485",2010-02-08 10:30:00.0,Intermediário
"2,56925",2010-02-08 11:00:00.0,Intermediário
"2,57148",2010-02-08 11:30:00.0,Intermediário
"2,56781",2010-02-08 12:00:00.0,Intermediário
"2,55743",2010-02-08 12:30:00.0,Intermediário
"2,56163",2010-02-08 13:00:00.0,Intermediário
"2,56328",2010-02-08 13:30:00.0,Intermediário
"2,5622",2010-02-08 14:00:00.0,Intermediário
"2,5574",2010-02-08 14:30:00.0,Intermediário
"2,55768",2010-02-08 15:00:00.0,Intermediário
"2,55547",2010-02-08 15:30:00.0,Intermediário
"2,56095",2010-02-08 16:00:00.0,Intermediário
"2,56339",2010-02-08 16:30:00.0,Fechamento Interbancário
"2,56202",2010-02-08 17:33:00.0,Fechamento
"2,56593",2010-02-09 09:21:00.0,Abertura
"2,56184",2010-02-09 09:30:00.0,Intermediário
"2,55894",2010-02-09 10:00:00.0,Intermediário
"2,55653",2010-02-09 10:30:00.0,Intermediário
"2,55826",2010-02-09 11:00:00.0,Intermediário
"2,55629",2010-02-09 11:30:00.0,Intermediário
"2,55284",2010-02-09 12:00:00.0,Intermediário
"2,55319",2010-02-09 12:30:00.0,Intermediário
"2,55254",2010-02-09 13:00:00.0,Intermediário
"2,55328",2010-02-09 13:30:00.0,Intermediário
"2,54803",2010-02-09 14:00:00.0,Intermediário
"2,54396",2010-02-09 14:30:00.0,Intermediário
"2,54851",2010-02-09 15:00:00.0,Intermediário
"2,55283",2010-02-09 15:30:00.0,Intermediário
"2,54361",2010-02-09 16:00:00.0,Intermediário
"2,54609",2010-02-09 16:30:00.0,Fechamento Interbancário
"2,55712",2010-02-09 17:38:00.0,Fechamento
"2,54573",2010-02-10 09:16:00.0,Abertura
"2,53837",2010-02-10 09:30:00.0,Intermediário
"2,53499",2010-02-10 10:00:00.0,Intermediário
"2,54029",2010-02-10 10:30:00.0,Intermediário
"2,53916",2010-02-10 11:00:00.0,Intermediário
"2,54459",2010-02-10 11:30:00.0,Intermediário
"2,54164",2010-02-10 12:00:00.0,Intermediário
"2,53626",2010-02-10 12:30:00.0,Intermediário
